,title,jobFunction,industry
4223,Senior Digital Media Strategist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Information Technology Services']
4224,Digital Marketing Internship - Alexandria,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Computer Software', 'Information Technology Services']"
4225,Social Media Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Travel and Tourism', 'Marketing and Advertising']"
4226,Junior iOS Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4227,Project Manager,"['Project/Program Management', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Graphic Design', 'Computer Software', 'Information Technology Services']"
4228,Secretary,['Administration'],"['Furniture', 'Real Estate/Property Management', 'Business Supplies and Equipment']"
4229,Motion Graphic Designer & Animator,['Creative/Design/Art'],"['Computer Software', 'Consulting Services', 'Graphic Design']"
4230,Business Development Manager - Software,"['Business Development', 'Project/Program Management', 'IT/Software Development']","['Financial Services', 'Computer Software']"
4231,Electronics / Telecom Engineer,"['Customer Service/Support', 'Engineering - Telecom/Technology']",['Real Estate/Property Management']
4232,Preschool English Teacher - Sheraton,['Education/Teaching'],['Education']
4233,Product Owner,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4234,ERP Software Implementation Consultant,"['Manufacturing/Production', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Consulting Services', 'Computer Software']"
4235,Accountant,['Accounting/Finance'],['Marketing and Advertising']
4236,Azure Cloud Infrastructure Engineer,['Engineering - Telecom/Technology'],"['Food and Beverage Production', 'Computer Software']"
4237,Senior QC Tester,"['IT/Software Development', 'Quality']",['Computer Software']
4238,Maintenance Engineer - CNC,"['Engineering - Mechanical/Electrical', 'Installation/Maintenance/Repair']",['Engineering Services']
4239,Assistant Teacher,['Education/Teaching'],['Education']
4240,Sales Executive - Females,"['Customer Service/Support', 'Sales/Retail']","['Online Media', 'Marketing and Advertising']"
4241,Maintenance Supervisor - Paintline,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']",['Manufacturing']
4242,Software Quality Control Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Quality']","['Information Technology Services', 'E-Learning', 'Internet/E-commerce']"
4243,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Other - Not Classified', 'Information Technology Services', 'Computer Software']"
4244,Pediatrics Specialist/Doctor - Saudi Arabia,['Medical/Healthcare'],['Healthcare and Medical Services']
4245,Accountant,['Accounting/Finance'],"['Apparel and Fashion', 'Engineering Services', 'Information Technology Services']"
4246,Senior UI/UX Designer,"['Engineering - Telecom/Technology', 'Creative/Design/Art', 'IT/Software Development']",['Information Technology Services']
4247,IOS Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Marketing and Advertising', 'Computer Software']"
4248,Back-End (PHP) Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Marketing and Advertising', 'Pharmaceuticals', 'Healthcare and Medical Services']"
4249,Account Manager,"['Business Development', 'Marketing/PR/Advertising']",['Marketing and Advertising']
4250,Digital Marketing Internship - Indonesia- GE,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Non-Profit Organizations', 'Information Technology Services', 'Education']"
4251,Back-End Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Marketing and Advertising', 'Computer Software', 'Graphic Design']"
4252,Librarian,"['Education/Teaching', 'Administration']",['Education']
4253,HR Manager,['Human Resources'],['Construction - Residential & Commercial/Office']
4254,Admin Assistant,['Administration'],"['Engineering Services', 'Apparel and Fashion', 'Information Technology Services']"
4255,IT Sales Executive,"['Sales/Retail', 'IT/Software Development']","['Computer Software', 'Computer and Network Security']"
4256,WordPress Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4257,Senior QC Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Quality']","['Computer Software', 'Insurance', 'Information Technology Services']"
4258,Production Manager - Qalubia,"['Engineering - Mechanical/Electrical', 'Manufacturing/Production']","['Import and Export', 'Manufacturing']"
4259,Landscape Engineer - Alexandria,['nan'],"['Engineering Services', 'Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
4260,Microsoft Unified Communications Expert,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology']",['Information Technology Services']
4261,Senior C++ Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
4262,Senior Software Sales Specialist,"['IT/Software Development', 'Sales/Retail']","['Computer Software', 'Internet/E-commerce', 'Information Technology Services']"
4263,UI/UX Designer Intern - Alexandria,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
4264,Junior YouTube Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
4265,React Native App Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4266,Product Manager - Security Solutions,['Business Development'],['Computer Software']
4267,Personal Assistant,['Administration'],"['Furniture', 'Real Estate/Property Management', 'Business Supplies and Equipment']"
4268,Senior iOS Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4269,Contacts Engineer,['Engineering - Construction/Civil/Architecture'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
4270,Social Media Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
4271,Architectural Engineer,['Engineering - Construction/Civil/Architecture'],"['Construction - Residential & Commercial/Office', 'Marketing and Advertising']"
4272,Senior.NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Engineering Services', 'Computer Software']"
4273,Senior Methodology & Stability Specialist - Monufya,"['Quality', 'Analyst/Research', 'Pharmaceutical']","['Pharmaceuticals', 'Healthcare and Medical Services']"
4274,Secretary,"['Media/Journalism/Publishing', 'Administration']","['Graphic Design', 'Marketing and Advertising', 'Cosmetics']"
4275,Senior Architecture Design Engineer,"['Engineering - Construction/Civil/Architecture', 'Creative/Design/Art']","['Engineering Services', 'Architectural and Design Services', 'Consulting Services']"
4276,Full Stack Developer (R&D) - Alexandria,"['Engineering - Telecom/Technology', 'R&D/Science', 'IT/Software Development']","['Computer Hardware', 'Information Technology Services', 'Computer Software']"
4277,Admin Coordinator,['Administration'],"['Business Services - Other', 'Information Technology Services', 'Computer Software']"
4278,Senior Infrastructure Engineer,"['IT/Software Development', 'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology']",['Information Technology Services']
4279,Visual Basic 6 Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
4280,Senior Quality Control,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
4281,Export Manager,['Logistics/Supply Chain'],['Manufacturing']
4282,Business Development Manager,"['Business Development', 'Sales/Retail']","['Computer Networking', 'Information Technology Services', 'Computer and Network Security']"
4283,Content Coordinator,"['Creative/Design/Art', 'Media/Journalism/Publishing']","['Information Technology Services', 'Telecommunications', 'Music']"
4284,Administrative & Planning Accountant,"['Accounting/Finance', 'Administration']","['Automotive', 'Logistics and Supply Chain', 'Manufacturing']"
4285,Executive Secretary,['Administration'],['Healthcare and Medical Services']
4286,Product Manager - Security Solutions,['Business Development'],['Computer Software']
4287,Financial Auditor,['Accounting/Finance'],['Education']
4288,Part Time Teacher,['Education/Teaching'],"['Education', 'E-Learning', 'Arts and Crafts']"
4289,PHP Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4290,Marketing Internship-India - GE,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Non-Profit Organizations', 'Information Technology Services', 'Education']"
4291,Computer Science & Computer Engineering Fresh Graduates,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
4292,Human Resources Generalist (Personnel),['Human Resources'],"['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
4293,Technical Support Engineer - English Speaker,"['Customer Service/Support', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Networking', 'Information Technology Services', 'Engineering Services']"
4294,B2B Sales Executive,"['Sales/Retail', 'Business Development', 'Customer Service/Support']","['Marketing and Advertising', 'Information Technology Services', 'Computer Software']"
4295,Civil Technical Office Manager,['Engineering - Construction/Civil/Architecture'],"['Engineering Services', 'Construction - Industrial Facilities and Infrastructure']"
4296,Purchasing Specialist,"['Logistics/Supply Chain', 'Purchasing/Procurement']",['Manufacturing']
4297,"Technical Office Manager ""Engineer""",['Engineering - Construction/Civil/Architecture'],['Engineering Services']
4298,Substitute Teacher,"['Training/Instructor', 'Education/Teaching']",['Education']
4299,National Sales Assistant | Guess,"['Sales/Retail', 'Customer Service/Support']","['Retail', 'Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
4300,Application Support Specialist,"['Engineering - Telecom/Technology', 'Customer Service/Support', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
4301,Senior System Admin,"['Engineering - Telecom/Technology', 'Installation/Maintenance/Repair', 'IT/Software Development']","['Computer Networking', 'Computer Software', 'Computer Hardware']"
4302,Motion Graphics Designer,"['Creative/Design/Art', 'Marketing/PR/Advertising']","['Information Technology Services', 'Computer Software', 'Marketing and Advertising']"
4303,Property Consultant - Broker,['Sales/Retail'],['Real Estate/Property Management']
4304,UI/UX Designer,"['Creative/Design/Art', 'Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
4305,Customs Domain Subject Matter Expert - KSA,['Logistics/Supply Chain'],['Information Technology Services']
4306,Junior Android Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4307,Maintenance Manager,"['Installation/Maintenance/Repair', 'Engineering - Other']",['Construction - Residential & Commercial/Office']
4308,Senior / Lead Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Computer Games']"
4309,Angular Developer - Alexandria,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4310,Social Media Sales Moderator,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Sales/Retail']","['Marketing and Advertising', 'Electronics and Semiconductors']"
4311,Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
4312,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Business Services - Other', 'Computer Software']"
4313,.NET Full Stack Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4314,Graphic Designer,['Creative/Design/Art'],['Marketing and Advertising']
4315,Media Buyer,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Graphic Design', 'Marketing and Advertising', 'Public Relations and Communications']"
4316,Sales Engineer,"['Engineering - Other', 'Sales/Retail']","['Education', 'Medical Devices and Supplies']"
4317,Senior Full Stack ASP.NET MVC Developer,"['Project/Program Management', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Management Consulting']"
4318,Enterprise Sales Account Manager,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Sales/Retail']","['Information Technology Services', 'Computer and Network Security', 'Computer Software']"
4319,Product Owner,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4320,Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Information Technology Services']
4321,Account Manager,"['Marketing/PR/Advertising', 'Customer Service/Support', 'Sales/Retail']",['Marketing and Advertising']
4322,Android Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Marketing and Advertising', 'Computer Software']"
4323,French Teacher,['Education/Teaching'],['Education']
4324,Senior Back-End .Net Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Translation and Localization']"
4325,Retail Senior Merchandiser,"['Fashion', 'Sales/Retail']","['Apparel and Fashion', 'Retail', 'Manufacturing']"
4326,Senior React Native Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Graphic Design', 'Computer Software', 'Marketing and Advertising']"
4327,Tendering & Procurement Manager,"['Purchasing/Procurement', 'Engineering - Construction/Civil/Architecture']",['Real Estate/Property Management']
4328,Quality Control Specialist,['Quality'],"['Manufacturing', 'Packaging and Containers']"
4329,Procurement Engineer,"['Purchasing/Procurement', 'Engineering - Mechanical/Electrical']","['Automotive', 'Electronics and Semiconductors', 'Manufacturing']"
4330,Sales Account Manager - Infrastructure,"['Customer Service/Support', 'IT/Software Development', 'Sales/Retail']",['Information Technology Services']
4331,Graphic Designer Internship-Tunisia-GE,"['Marketing/PR/Advertising', 'Creative/Design/Art']","['Non-Profit Organizations', 'Information Technology Services', 'Education']"
4332,Medical Manager- Alexandria,"['Pharmaceutical', 'R&D/Science', 'Medical/Healthcare']","['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
4333,IT & Software Engineer,['IT/Software Development'],"['Other - Not Classified', 'Computer Software', 'Computer Hardware']"
4334,Digital Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Creative/Design/Art']",['Computer Software']
4335,Mechanical Engineer - Fire Fighting,['nan'],"['Engineering Services', 'Construction - Residential & Commercial/Office', 'Construction - Industrial Facilities and Infrastructure']"
4336,Head Of Sourcing & Buying,['Purchasing/Procurement'],"['Manufacturing', 'Wholesale Trade', 'Retail']"
4337,Motion Graphic Designer - Part Time,['Creative/Design/Art'],"['Consulting Services', 'Computer Software', 'Graphic Design']"
4338,HR Coordinator,['Human Resources'],['Marketing and Advertising']
4339,Senior PHP Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
4340,Civil Engineer,['Engineering - Construction/Civil/Architecture'],['Real Estate/Property Management']
4341,Head of Development & Delivery (Leading Alexandria Branch),"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4342,Structural Steel Construction Project Manager - El-Alamein,"['Project/Program Management', 'Engineering - Construction/Civil/Architecture']","['Real Estate/Property Management', 'Manufacturing']"
4343,Account Executive,['Sales/Retail'],['Computer Software']
4344,Senior Full Stack .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
4345,Senior Digital Marketing Executive,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Information Technology Services', 'Computer Software']"
4346,Dental Clinic Coordinator,['Medical/Healthcare'],"['Health, Wellness and Fitness', 'Healthcare and Medical Services']"
4347,French Teacher,['Education/Teaching'],['Education']
4348,Senior Android Developer,['Engineering - Telecom/Technology'],['Computer Software']
4349,Senior Java Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
4350,Senior IIB Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4351,Outdoor Sales Representative - Alexandria,"['Customer Service/Support', 'Sales/Retail']","['Computer Software', 'Graphic Design', 'Marketing and Advertising']"
4352,Site Mechanical Engineer,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical']",['Construction - Residential & Commercial/Office']
4353,iOS Mobile Application Developer,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Internet/E-commerce', 'Marketing and Advertising', 'Computer Software']"
4354,Sales Agent,['Sales/Retail'],"['Computer Software', 'Computer Hardware']"
4355,Property Consultant - Real Estate,['Sales/Retail'],['Real Estate/Property Management']
4356,Regulatory Specialist,"['Administration', 'Quality']","['Computer Software', 'Healthcare and Medical Services']"
4357,Digital Content Acquisition Specialist,['Business Development'],"['Telecommunications', 'Information Technology Services', 'Music']"
4358,Class Teacher ( Native Speakers Only),['Education/Teaching'],['Education']
4359,Senior Web Designer UI/UX,"['IT/Software Development', 'Creative/Design/Art']","['Internet/E-commerce', 'Computer Software', 'Information Technology Services']"
4360,Senior Data Scientist,"['Analyst/Research', 'R&D/Science']",['Information Technology Services']
4361,Sales Admin,['Sales/Retail'],['Real Estate/Property Management']
4362,Panel Sales Engineer,"['Engineering - Mechanical/Electrical', 'Sales/Retail']",['Manufacturing']
4363,Social Media Moderator,"['Customer Service/Support', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
4364,Senior Mobile Developer - Android,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4365,Senior .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4366,Technical Office Engineer,['Engineering - Construction/Civil/Architecture'],"['Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
4367,Purchasing Manager - Qalubia,"['Logistics/Supply Chain', 'Purchasing/Procurement']","['Import and Export', 'Manufacturing']"
4368,RPA/Robotics Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4369,PHP Laravel Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Marketing and Advertising', 'Information Technology Services']"
4370,VPO Team Manager,"['Project/Program Management', 'Operations/Management', 'Engineering - Telecom/Technology']",['Information Technology Services']
4371,Medical Advisor - Alexandria,['Medical/Healthcare'],"['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
4372,Senior Full Stack Developer (PHP/Laravel) - Alexandria,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4373,Deep Learning Researcher,"['Engineering - Telecom/Technology', 'IT/Software Development']","['E-Learning', 'Computer Software', 'Research']"
4374,Full Stack Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4375,HRIS Specialist,"['Human Resources', 'IT/Software Development']","['Construction - Residential & Commercial/Office', 'Manufacturing', 'Engineering Services']"
4376,Secretary,['Administration'],"['Architectural and Design Services', 'Marketing and Advertising']"
4377,Site Administrative Officer (Construction) - Alexandria,"['Project/Program Management', 'Engineering - Construction/Civil/Architecture', 'Administration']",['Real Estate/Property Management']
4378,Executive Secretary,['Administration'],['Engineering Services']
4379,Graphic Designer,"['Marketing/PR/Advertising', 'Creative/Design/Art']","['Information Technology Services', 'Capital Markets', 'Marketing and Advertising']"
4380,Purchasing Manager,['Purchasing/Procurement'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
4381,Social Media Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Creative/Design/Art']",['Real Estate/Property Management']
4382,Senior EPM Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Computer Software', 'Telecommunications']"
4383,Recruitment Consultant,['Human Resources'],"['Computer Software', 'Human Resources', 'Information Technology Services']"
4384,PR Manager,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Internet/E-commerce', 'Information Technology Services', 'Healthcare and Medical Services']"
4385,Senior .Net Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4386,Business Development Executive,"['Customer Service/Support', 'Sales/Retail', 'Strategy/Consulting']","['Marketing and Advertising', 'Legal Services', 'Business Services - Other']"
4387,Sales Specialist,['Sales/Retail'],"['Research', 'Computer Software']"
4388,IBM BPM/ODM Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4389,Senior Sales Engineer,"['Customer Service/Support', 'Sales/Retail']","['Information Technology Services', 'Business Services - Other']"
4390,Odoo Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Computer Hardware', 'Computer Networking']"
4391,English Juniors & Preschool Teacher,['Education/Teaching'],['Education']
4392,Online Tourism Operator,"['Media/Journalism/Publishing', 'Tourism/Travel']","['Hospitality/Hotels', 'Travel and Tourism', 'Marketing and Advertising']"
4393,Montessori Coordinator,['Education/Teaching'],"['Education', 'E-Learning', 'Arts and Crafts']"
4394,HR Recruiter,['Human Resources'],"['Internet/E-commerce', 'Information Technology Services']"
4395,System Analyst,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology']",['Information Technology Services']
4396,Graphic Designer,"['Marketing/PR/Advertising', 'Creative/Design/Art']","['Graphic Design', 'Marketing and Advertising', 'Fine Art']"
4397,Customer Service Representative,['Customer Service/Support'],"['Retail', 'Real Estate/Property Management']"
4398,Application Support Specialist,"['IT/Software Development', 'Customer Service/Support', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
4399,Admin Supervisor - Marassi,['Administration'],"['Recreational Facilities and Services', 'Real Estate/Property Management', 'Security and Surveillance']"
4400,Operations Admin - Maadi Branch,['Administration'],"['Training and Coaching', 'Education']"
4401,React Native Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Graphic Design', 'Marketing and Advertising', 'Computer Software']"
4402,Talent Acquisition Supervisor,['Human Resources'],"['Information Technology Services', 'Education', 'Computer Software']"
4403,Account Manager Assistant,"['Administration', 'Customer Service/Support', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Media Production', 'Entertainment']"
4404,3D Graphic Designer,['Creative/Design/Art'],['Manufacturing']
4405,Recruitment Supervisor,['Human Resources'],"['Apparel and Fashion', 'Manufacturing']"
4406,Odoo Developer - Egypt,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Training and Coaching', 'Information Technology Services']"
4407,Senior Android Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4408,React Native App Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4409,Senior Software Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4410,Front End Developer (UI/UX) - Alexandria,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Creative/Design/Art']","['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
4411,Senior Full Stack Java Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['E-Learning', 'Computer Software', 'Research']"
4412,Cross Platform Mobile Application Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4413,Creative 3D Designer,"['Creative/Design/Art', 'Marketing/PR/Advertising']",['Marketing and Advertising']
4414,Front Desk & Admin Assistant,['Administration'],['Real Estate/Property Management']
4415,Administration & Financial Manager,"['Operations/Management', 'Administration', 'Accounting/Finance']",['Real Estate/Property Management']
4416,Product Manager - Security Solutions,['Business Development'],['Computer Software']
4417,React Native Mobile Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
4418,Biomedical Engineer,"['Installation/Maintenance/Repair', 'Engineering - Other']",['Healthcare and Medical Services']
4419,Senior .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4420,Senior Customer Service Representative - Alexandria,"['Administration', 'Customer Service/Support']",['Education']
4421,Sales Executive,['Sales/Retail'],"['Information Technology Services', 'Computer Software']"
4422,Java Technical Lead,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
4423,Application Support Specialist (Hospitality),"['Engineering - Telecom/Technology', 'Customer Service/Support', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Computer and Network Security']"
4424,Outdoor Sales Representative - Alexandria,"['Sales/Retail', 'Customer Service/Support']","['Marketing and Advertising', 'Graphic Design', 'Computer Software']"
4425,MBA Instructor,['Training/Instructor'],['Education']
4426,Mechanical Maintenance Engineer,"['Engineering - Mechanical/Electrical', 'Installation/Maintenance/Repair', 'Manufacturing/Production']","['Manufacturing', 'Plastics']"
4427,Senior Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Insurance', 'Information Technology Services']"
4428,Senior Mobile Developer - Android/iOS,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
4429,French Teacher,['Education/Teaching'],"['Education', 'E-Learning', 'Arts and Crafts']"
4430,Account Executive (Advertising),"['Marketing/PR/Advertising', 'Sales/Retail']",['Marketing and Advertising']
4431,Senior Oracle Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Business Services - Other', 'Computer Software']"
4432,Cognos Consultant,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4433,Digital Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Consulting Services']"
4434,Technical Lead (Java),"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Telecommunications']"
4435,Electrical / Mechanical Power Engineer,['Engineering - Mechanical/Electrical'],['Engineering Services']
4436,Senior Software Sales ( ERP - Odoo & Other Software),"['IT/Software Development', 'Sales/Retail']","['Computer Software', 'Information Technology Services']"
4437,Executive Secretary- Real-Estate/Contracting,['Administration'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
4438,Operations Admin - October Branch,['Administration'],"['Training and Coaching', 'Education']"
4439,Reporting and Analytics Data Specialist,"['Analyst/Research', 'Engineering - Other']","['Financial Services', 'Real Estate/Property Management', 'Information Technology Services']"
4440,Senior Android Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
4441,Senior .Net Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
4442,Purchasing Coordinator,"['Administration', 'Purchasing/Procurement']",['Construction - Residential & Commercial/Office']
4443,Senior Purchasing Specialist - Temporary,"['Logistics/Supply Chain', 'Purchasing/Procurement']",['Information Technology Services']
4444,HSE Head,"['Quality', 'Engineering - Other']",['Manufacturing']
4445,Electrical Sales Engineer,"['Engineering - Mechanical/Electrical', 'Sales/Retail']",['Manufacturing']
4446,Technical Support Engineer,"['Customer Service/Support', 'Engineering - Telecom/Technology']",['Information Technology Services']
4447,Medical Content Quality Control Specialist - Alexandria,"['Pharmaceutical', 'Quality', 'Medical/Healthcare']","['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
4448,Marketing Executive,['Marketing/PR/Advertising'],['Marketing and Advertising']
4449,Marketing Manager,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Operations/Management']",['Marketing and Advertising']
4450,Contracting Accountant,['Accounting/Finance'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
4451,Senior Back-End .Net Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Translation and Localization', 'Computer Software']"
4452,Senior Testing Consultant,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Consulting Services', 'Banking']"
4453,Infection Control Head,"['Quality', 'Medical/Healthcare']",['Healthcare and Medical Services']
4454,Google Cloud Development Intern,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Computer and Network Security']"
4455,Land Surveyor Specialist - Alexandria,"['Engineering - Other', 'Engineering - Construction/Civil/Architecture']",['Real Estate/Property Management']
4456,Social Media Manager,"['Creative/Design/Art', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Internet/E-commerce', 'Graphic Design', 'Marketing and Advertising']"
4457,Electrical Engineer - Fire Alarm,['nan'],"['Engineering Services', 'Construction - Residential & Commercial/Office', 'Construction - Industrial Facilities and Infrastructure']"
4458,3D Max Architect,['Engineering - Construction/Civil/Architecture'],"['Engineering Services', 'Consulting Services']"
4459,Senior .NET Developer - MVC,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
4460,International Digital Sales & Marketing Team Leader,"['Marketing/PR/Advertising', 'Sales/Retail']",['Manufacturing']
4461,Senior SharePoint Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
4462,Senior EDI Integration Analyst,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology']",['Computer Software']
4463,Montessori English Teacher,['Education/Teaching'],['Education']
4464,Digital Marketing Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Travel and Tourism', 'Marketing and Advertising']"
